matrix,mode,threads,schedule,chunk,time_ms,format
matrix_mkt/1138_bus.mtx,SEQ,1.0,none,0.0,0.016,CSR
matrix_mkt/494_bus.mtx,SEQ,1.0,none,0.0,0.006,CSR
matrix_mkt/bcspwr06.mtx,SEQ,1.0,none,0.0,0.02,CSR
matrix_mkt/bcspwr08.mtx,SEQ,1.0,none,0.0,0.023,CSR
matrix_mkt/bcspwr10.mtx,SEQ,1.0,none,0.0,0.086,CSR
matrix_mkt/1138_bus.mtx,PAR,64.0,static,0.0,0.06,CSR
matrix_mkt/1138_bus.mtx,PAR,64.0,static,1.0,0.09,CSR
matrix_mkt/1138_bus.mtx,PAR,64.0,static,10.0,0.056,CSR
matrix_mkt/1138_bus.mtx,PAR,64.0,static,50.0,0.052,CSR
matrix_mkt/1138_bus.mtx,PAR,64.0,static,100.0,0.051,CSR
matrix_mkt/1138_bus.mtx,PAR,32.0,static,0.0,0.028,CSR
matrix_mkt/1138_bus.mtx,PAR,32.0,static,1.0,0.053,CSR
matrix_mkt/1138_bus.mtx,PAR,32.0,static,10.0,0.033,CSR
matrix_mkt/1138_bus.mtx,PAR,32.0,static,50.0,0.029,CSR
matrix_mkt/1138_bus.mtx,PAR,32.0,static,100.0,0.029,CSR
matrix_mkt/1138_bus.mtx,PAR,16.0,static,0.0,0.018,CSR
matrix_mkt/1138_bus.mtx,PAR,16.0,static,1.0,0.052,CSR
matrix_mkt/1138_bus.mtx,PAR,16.0,static,10.0,0.029,CSR
matrix_mkt/1138_bus.mtx,PAR,16.0,static,50.0,0.022,CSR
matrix_mkt/1138_bus.mtx,PAR,16.0,static,100.0,0.023,CSR
matrix_mkt/1138_bus.mtx,PAR,4.0,static,0.0,0.015,CSR
matrix_mkt/1138_bus.mtx,PAR,4.0,static,1.0,0.035,CSR
matrix_mkt/1138_bus.mtx,PAR,4.0,static,10.0,0.025,CSR
matrix_mkt/1138_bus.mtx,PAR,4.0,static,50.0,0.017,CSR
matrix_mkt/1138_bus.mtx,PAR,4.0,static,100.0,0.018,CSR
matrix_mkt/1138_bus.mtx,PAR,64.0,dynamic,0.0,0.155,CSR
matrix_mkt/1138_bus.mtx,PAR,64.0,dynamic,1.0,0.136,CSR
matrix_mkt/1138_bus.mtx,PAR,64.0,dynamic,10.0,0.06,CSR
matrix_mkt/1138_bus.mtx,PAR,64.0,dynamic,50.0,0.053,CSR
matrix_mkt/1138_bus.mtx,PAR,64.0,dynamic,100.0,0.051,CSR
matrix_mkt/1138_bus.mtx,PAR,32.0,dynamic,0.0,0.125,CSR
matrix_mkt/1138_bus.mtx,PAR,32.0,dynamic,1.0,0.124,CSR
matrix_mkt/1138_bus.mtx,PAR,32.0,dynamic,10.0,0.038,CSR
matrix_mkt/1138_bus.mtx,PAR,32.0,dynamic,50.0,0.028,CSR
matrix_mkt/1138_bus.mtx,PAR,32.0,dynamic,100.0,0.029,CSR
matrix_mkt/1138_bus.mtx,PAR,16.0,dynamic,0.0,0.145,CSR
matrix_mkt/1138_bus.mtx,PAR,16.0,dynamic,1.0,0.121,CSR
matrix_mkt/1138_bus.mtx,PAR,16.0,dynamic,10.0,0.034,CSR
matrix_mkt/1138_bus.mtx,PAR,16.0,dynamic,50.0,0.022,CSR
matrix_mkt/1138_bus.mtx,PAR,16.0,dynamic,100.0,0.02,CSR
matrix_mkt/1138_bus.mtx,PAR,4.0,dynamic,0.0,0.183,CSR
matrix_mkt/1138_bus.mtx,PAR,4.0,dynamic,1.0,0.223,CSR
matrix_mkt/1138_bus.mtx,PAR,4.0,dynamic,10.0,0.036,CSR
matrix_mkt/1138_bus.mtx,PAR,4.0,dynamic,50.0,0.022,CSR
matrix_mkt/1138_bus.mtx,PAR,4.0,dynamic,100.0,0.016,CSR
matrix_mkt/1138_bus.mtx,PAR,64.0,guided,0.0,0.207,CSR
matrix_mkt/1138_bus.mtx,PAR,64.0,guided,1.0,0.161,CSR
matrix_mkt/1138_bus.mtx,PAR,64.0,guided,10.0,0.092,CSR
matrix_mkt/1138_bus.mtx,PAR,64.0,guided,50.0,0.067,CSR
matrix_mkt/1138_bus.mtx,PAR,64.0,guided,100.0,0.058,CSR
matrix_mkt/1138_bus.mtx,PAR,32.0,guided,0.0,0.077,CSR
matrix_mkt/1138_bus.mtx,PAR,32.0,guided,1.0,0.072,CSR
matrix_mkt/1138_bus.mtx,PAR,32.0,guided,10.0,0.053,CSR
matrix_mkt/1138_bus.mtx,PAR,32.0,guided,50.0,0.039,CSR
matrix_mkt/1138_bus.mtx,PAR,32.0,guided,100.0,0.032,CSR
matrix_mkt/1138_bus.mtx,PAR,16.0,guided,0.0,0.042,CSR
matrix_mkt/1138_bus.mtx,PAR,16.0,guided,1.0,0.041,CSR
matrix_mkt/1138_bus.mtx,PAR,16.0,guided,10.0,0.032,CSR
matrix_mkt/1138_bus.mtx,PAR,16.0,guided,50.0,0.026,CSR
matrix_mkt/1138_bus.mtx,PAR,16.0,guided,100.0,0.021,CSR
matrix_mkt/1138_bus.mtx,PAR,4.0,guided,0.0,0.018,CSR
matrix_mkt/1138_bus.mtx,PAR,4.0,guided,1.0,0.018,CSR
matrix_mkt/1138_bus.mtx,PAR,4.0,guided,10.0,0.019,CSR
matrix_mkt/1138_bus.mtx,PAR,4.0,guided,50.0,0.016,CSR
matrix_mkt/1138_bus.mtx,PAR,4.0,guided,100.0,0.017,CSR
matrix_mkt/1138_bus.mtx,PAR,64.0,auto,0.0,0.18,CSR
matrix_mkt/1138_bus.mtx,PAR,64.0,auto,1.0,0.052,CSR
matrix_mkt/1138_bus.mtx,PAR,64.0,auto,10.0,0.053,CSR
matrix_mkt/1138_bus.mtx,PAR,64.0,auto,50.0,0.051,CSR
matrix_mkt/1138_bus.mtx,PAR,64.0,auto,100.0,0.185,CSR
matrix_mkt/1138_bus.mtx,PAR,32.0,auto,0.0,0.029,CSR
matrix_mkt/1138_bus.mtx,PAR,32.0,auto,1.0,0.03,CSR
matrix_mkt/1138_bus.mtx,PAR,32.0,auto,10.0,0.027,CSR
matrix_mkt/1138_bus.mtx,PAR,32.0,auto,50.0,0.029,CSR
matrix_mkt/1138_bus.mtx,PAR,32.0,auto,100.0,0.028,CSR
matrix_mkt/1138_bus.mtx,PAR,16.0,auto,0.0,0.019,CSR
matrix_mkt/1138_bus.mtx,PAR,16.0,auto,1.0,0.019,CSR
matrix_mkt/1138_bus.mtx,PAR,16.0,auto,10.0,0.019,CSR
matrix_mkt/1138_bus.mtx,PAR,16.0,auto,50.0,0.02,CSR
matrix_mkt/1138_bus.mtx,PAR,16.0,auto,100.0,0.021,CSR
matrix_mkt/1138_bus.mtx,PAR,4.0,auto,0.0,0.014,CSR
matrix_mkt/1138_bus.mtx,PAR,4.0,auto,1.0,0.012,CSR
matrix_mkt/1138_bus.mtx,PAR,4.0,auto,10.0,0.021,CSR
matrix_mkt/1138_bus.mtx,PAR,4.0,auto,50.0,0.014,CSR
matrix_mkt/1138_bus.mtx,PAR,4.0,auto,100.0,0.012,CSR
matrix_mkt/494_bus.mtx,PAR,64.0,static,0.0,4.361,CSR
matrix_mkt/494_bus.mtx,PAR,64.0,static,1.0,0.074,CSR
matrix_mkt/494_bus.mtx,PAR,64.0,static,10.0,0.059,CSR
matrix_mkt/494_bus.mtx,PAR,64.0,static,50.0,0.054,CSR
matrix_mkt/494_bus.mtx,PAR,64.0,static,100.0,0.091,CSR
matrix_mkt/494_bus.mtx,PAR,32.0,static,0.0,0.03,CSR
matrix_mkt/494_bus.mtx,PAR,32.0,static,1.0,0.048,CSR
matrix_mkt/494_bus.mtx,PAR,32.0,static,10.0,0.032,CSR
matrix_mkt/494_bus.mtx,PAR,32.0,static,50.0,0.029,CSR
matrix_mkt/494_bus.mtx,PAR,32.0,static,100.0,0.029,CSR
matrix_mkt/494_bus.mtx,PAR,16.0,static,0.0,0.02,CSR
matrix_mkt/494_bus.mtx,PAR,16.0,static,1.0,0.04,CSR
matrix_mkt/494_bus.mtx,PAR,16.0,static,10.0,0.025,CSR
matrix_mkt/494_bus.mtx,PAR,16.0,static,50.0,0.017,CSR
matrix_mkt/494_bus.mtx,PAR,16.0,static,100.0,0.021,CSR
matrix_mkt/494_bus.mtx,PAR,4.0,static,0.0,0.015,CSR
matrix_mkt/494_bus.mtx,PAR,4.0,static,1.0,0.029,CSR
matrix_mkt/494_bus.mtx,PAR,4.0,static,10.0,0.016,CSR
matrix_mkt/494_bus.mtx,PAR,4.0,static,50.0,0.013,CSR
matrix_mkt/494_bus.mtx,PAR,4.0,static,100.0,0.012,CSR
matrix_mkt/494_bus.mtx,PAR,64.0,dynamic,0.0,1.338,CSR
matrix_mkt/494_bus.mtx,PAR,64.0,dynamic,1.0,0.119,CSR
matrix_mkt/494_bus.mtx,PAR,64.0,dynamic,10.0,0.062,CSR
matrix_mkt/494_bus.mtx,PAR,64.0,dynamic,50.0,0.056,CSR
matrix_mkt/494_bus.mtx,PAR,64.0,dynamic,100.0,0.056,CSR
matrix_mkt/494_bus.mtx,PAR,32.0,dynamic,0.0,0.094,CSR
matrix_mkt/494_bus.mtx,PAR,32.0,dynamic,1.0,0.091,CSR
matrix_mkt/494_bus.mtx,PAR,32.0,dynamic,10.0,0.036,CSR
matrix_mkt/494_bus.mtx,PAR,32.0,dynamic,50.0,0.03,CSR
matrix_mkt/494_bus.mtx,PAR,32.0,dynamic,100.0,0.03,CSR
matrix_mkt/494_bus.mtx,PAR,16.0,dynamic,0.0,0.096,CSR
matrix_mkt/494_bus.mtx,PAR,16.0,dynamic,1.0,0.089,CSR
matrix_mkt/494_bus.mtx,PAR,16.0,dynamic,10.0,0.029,CSR
matrix_mkt/494_bus.mtx,PAR,16.0,dynamic,50.0,0.021,CSR
matrix_mkt/494_bus.mtx,PAR,16.0,dynamic,100.0,0.019,CSR
matrix_mkt/494_bus.mtx,PAR,4.0,dynamic,0.0,0.115,CSR
matrix_mkt/494_bus.mtx,PAR,4.0,dynamic,1.0,0.108,CSR
matrix_mkt/494_bus.mtx,PAR,4.0,dynamic,10.0,0.021,CSR
matrix_mkt/494_bus.mtx,PAR,4.0,dynamic,50.0,0.015,CSR
matrix_mkt/494_bus.mtx,PAR,4.0,dynamic,100.0,0.013,CSR
matrix_mkt/494_bus.mtx,PAR,64.0,guided,0.0,0.52,CSR
matrix_mkt/494_bus.mtx,PAR,64.0,guided,1.0,1.921,CSR
matrix_mkt/494_bus.mtx,PAR,64.0,guided,10.0,0.084,CSR
matrix_mkt/494_bus.mtx,PAR,64.0,guided,50.0,0.057,CSR
matrix_mkt/494_bus.mtx,PAR,64.0,guided,100.0,0.053,CSR
matrix_mkt/494_bus.mtx,PAR,32.0,guided,0.0,0.072,CSR
matrix_mkt/494_bus.mtx,PAR,32.0,guided,1.0,0.069,CSR
matrix_mkt/494_bus.mtx,PAR,32.0,guided,10.0,0.048,CSR
matrix_mkt/494_bus.mtx,PAR,32.0,guided,50.0,0.034,CSR
matrix_mkt/494_bus.mtx,PAR,32.0,guided,100.0,0.03,CSR
matrix_mkt/494_bus.mtx,PAR,16.0,guided,0.0,0.041,CSR
matrix_mkt/494_bus.mtx,PAR,16.0,guided,1.0,0.037,CSR
matrix_mkt/494_bus.mtx,PAR,16.0,guided,10.0,0.028,CSR
matrix_mkt/494_bus.mtx,PAR,16.0,guided,50.0,0.022,CSR
matrix_mkt/494_bus.mtx,PAR,16.0,guided,100.0,0.02,CSR
matrix_mkt/494_bus.mtx,PAR,4.0,guided,0.0,0.015,CSR
matrix_mkt/494_bus.mtx,PAR,4.0,guided,1.0,0.016,CSR
matrix_mkt/494_bus.mtx,PAR,4.0,guided,10.0,0.013,CSR
matrix_mkt/494_bus.mtx,PAR,4.0,guided,50.0,0.013,CSR
matrix_mkt/494_bus.mtx,PAR,4.0,guided,100.0,0.015,CSR
matrix_mkt/494_bus.mtx,PAR,64.0,auto,0.0,0.071,CSR
matrix_mkt/494_bus.mtx,PAR,64.0,auto,1.0,0.059,CSR
matrix_mkt/494_bus.mtx,PAR,64.0,auto,10.0,0.055,CSR
matrix_mkt/494_bus.mtx,PAR,64.0,auto,50.0,0.056,CSR
matrix_mkt/494_bus.mtx,PAR,64.0,auto,100.0,0.055,CSR
matrix_mkt/494_bus.mtx,PAR,32.0,auto,0.0,0.031,CSR
matrix_mkt/494_bus.mtx,PAR,32.0,auto,1.0,0.03,CSR
matrix_mkt/494_bus.mtx,PAR,32.0,auto,10.0,0.031,CSR
matrix_mkt/494_bus.mtx,PAR,32.0,auto,50.0,0.029,CSR
matrix_mkt/494_bus.mtx,PAR,32.0,auto,100.0,0.029,CSR
matrix_mkt/494_bus.mtx,PAR,16.0,auto,0.0,0.021,CSR
matrix_mkt/494_bus.mtx,PAR,16.0,auto,1.0,0.021,CSR
matrix_mkt/494_bus.mtx,PAR,16.0,auto,10.0,0.019,CSR
matrix_mkt/494_bus.mtx,PAR,16.0,auto,50.0,0.02,CSR
matrix_mkt/494_bus.mtx,PAR,16.0,auto,100.0,0.019,CSR
matrix_mkt/494_bus.mtx,PAR,4.0,auto,0.0,0.013,CSR
matrix_mkt/494_bus.mtx,PAR,4.0,auto,1.0,0.014,CSR
matrix_mkt/494_bus.mtx,PAR,4.0,auto,10.0,0.014,CSR
matrix_mkt/494_bus.mtx,PAR,4.0,auto,50.0,0.016,CSR
matrix_mkt/494_bus.mtx,PAR,4.0,auto,100.0,0.015,CSR
matrix_mkt/bcspwr06.mtx,PAR,64.0,static,0.0,0.06,CSR
matrix_mkt/bcspwr06.mtx,PAR,64.0,static,1.0,0.119,CSR
matrix_mkt/bcspwr06.mtx,PAR,64.0,static,10.0,0.072,CSR
matrix_mkt/bcspwr06.mtx,PAR,64.0,static,50.0,0.088,CSR
matrix_mkt/bcspwr06.mtx,PAR,64.0,static,100.0,0.059,CSR
matrix_mkt/bcspwr06.mtx,PAR,32.0,static,0.0,0.033,CSR
matrix_mkt/bcspwr06.mtx,PAR,32.0,static,1.0,0.061,CSR
matrix_mkt/bcspwr06.mtx,PAR,32.0,static,10.0,0.036,CSR
matrix_mkt/bcspwr06.mtx,PAR,32.0,static,50.0,0.033,CSR
matrix_mkt/bcspwr06.mtx,PAR,32.0,static,100.0,0.034,CSR
matrix_mkt/bcspwr06.mtx,PAR,16.0,static,0.0,0.024,CSR
matrix_mkt/bcspwr06.mtx,PAR,16.0,static,1.0,0.055,CSR
matrix_mkt/bcspwr06.mtx,PAR,16.0,static,10.0,0.034,CSR
matrix_mkt/bcspwr06.mtx,PAR,16.0,static,50.0,0.027,CSR
matrix_mkt/bcspwr06.mtx,PAR,16.0,static,100.0,0.024,CSR
matrix_mkt/bcspwr06.mtx,PAR,4.0,static,0.0,0.021,CSR
matrix_mkt/bcspwr06.mtx,PAR,4.0,static,1.0,0.038,CSR
matrix_mkt/bcspwr06.mtx,PAR,4.0,static,10.0,0.025,CSR
matrix_mkt/bcspwr06.mtx,PAR,4.0,static,50.0,0.022,CSR
matrix_mkt/bcspwr06.mtx,PAR,4.0,static,100.0,0.025,CSR
matrix_mkt/bcspwr06.mtx,PAR,64.0,dynamic,0.0,0.36,CSR
matrix_mkt/bcspwr06.mtx,PAR,64.0,dynamic,1.0,0.362,CSR
matrix_mkt/bcspwr06.mtx,PAR,64.0,dynamic,10.0,0.082,CSR
matrix_mkt/bcspwr06.mtx,PAR,64.0,dynamic,50.0,0.062,CSR
matrix_mkt/bcspwr06.mtx,PAR,64.0,dynamic,100.0,0.056,CSR
matrix_mkt/bcspwr06.mtx,PAR,32.0,dynamic,0.0,0.2,CSR
matrix_mkt/bcspwr06.mtx,PAR,32.0,dynamic,1.0,0.204,CSR
matrix_mkt/bcspwr06.mtx,PAR,32.0,dynamic,10.0,0.053,CSR
matrix_mkt/bcspwr06.mtx,PAR,32.0,dynamic,50.0,0.038,CSR
matrix_mkt/bcspwr06.mtx,PAR,32.0,dynamic,100.0,0.034,CSR
matrix_mkt/bcspwr06.mtx,PAR,16.0,dynamic,0.0,0.242,CSR
matrix_mkt/bcspwr06.mtx,PAR,16.0,dynamic,1.0,0.219,CSR
matrix_mkt/bcspwr06.mtx,PAR,16.0,dynamic,10.0,0.049,CSR
matrix_mkt/bcspwr06.mtx,PAR,16.0,dynamic,50.0,0.029,CSR
matrix_mkt/bcspwr06.mtx,PAR,16.0,dynamic,100.0,0.03,CSR
matrix_mkt/bcspwr06.mtx,PAR,4.0,dynamic,0.0,0.25,CSR
matrix_mkt/bcspwr06.mtx,PAR,4.0,dynamic,1.0,0.267,CSR
matrix_mkt/bcspwr06.mtx,PAR,4.0,dynamic,10.0,0.053,CSR
matrix_mkt/bcspwr06.mtx,PAR,4.0,dynamic,50.0,0.026,CSR
matrix_mkt/bcspwr06.mtx,PAR,4.0,dynamic,100.0,0.025,CSR
matrix_mkt/bcspwr06.mtx,PAR,64.0,guided,0.0,5.122,CSR
matrix_mkt/bcspwr06.mtx,PAR,64.0,guided,1.0,0.208,CSR
matrix_mkt/bcspwr06.mtx,PAR,64.0,guided,10.0,0.136,CSR
matrix_mkt/bcspwr06.mtx,PAR,64.0,guided,50.0,0.073,CSR
matrix_mkt/bcspwr06.mtx,PAR,64.0,guided,100.0,0.066,CSR
matrix_mkt/bcspwr06.mtx,PAR,32.0,guided,0.0,0.088,CSR
matrix_mkt/bcspwr06.mtx,PAR,32.0,guided,1.0,0.081,CSR
matrix_mkt/bcspwr06.mtx,PAR,32.0,guided,10.0,0.072,CSR
matrix_mkt/bcspwr06.mtx,PAR,32.0,guided,50.0,0.047,CSR
matrix_mkt/bcspwr06.mtx,PAR,32.0,guided,100.0,0.039,CSR
matrix_mkt/bcspwr06.mtx,PAR,16.0,guided,0.0,0.047,CSR
matrix_mkt/bcspwr06.mtx,PAR,16.0,guided,1.0,0.051,CSR
matrix_mkt/bcspwr06.mtx,PAR,16.0,guided,10.0,0.04,CSR
matrix_mkt/bcspwr06.mtx,PAR,16.0,guided,50.0,0.033,CSR
matrix_mkt/bcspwr06.mtx,PAR,16.0,guided,100.0,0.028,CSR
matrix_mkt/bcspwr06.mtx,PAR,4.0,guided,0.0,0.024,CSR
matrix_mkt/bcspwr06.mtx,PAR,4.0,guided,1.0,0.022,CSR
matrix_mkt/bcspwr06.mtx,PAR,4.0,guided,10.0,0.021,CSR
matrix_mkt/bcspwr06.mtx,PAR,4.0,guided,50.0,0.02,CSR
matrix_mkt/bcspwr06.mtx,PAR,4.0,guided,100.0,0.019,CSR
matrix_mkt/bcspwr06.mtx,PAR,64.0,auto,0.0,0.601,CSR
matrix_mkt/bcspwr06.mtx,PAR,64.0,auto,1.0,0.057,CSR
matrix_mkt/bcspwr06.mtx,PAR,64.0,auto,10.0,0.057,CSR
matrix_mkt/bcspwr06.mtx,PAR,64.0,auto,50.0,4.247,CSR
matrix_mkt/bcspwr06.mtx,PAR,64.0,auto,100.0,0.063,CSR
matrix_mkt/bcspwr06.mtx,PAR,32.0,auto,0.0,0.031,CSR
matrix_mkt/bcspwr06.mtx,PAR,32.0,auto,1.0,0.03,CSR
matrix_mkt/bcspwr06.mtx,PAR,32.0,auto,10.0,0.031,CSR
matrix_mkt/bcspwr06.mtx,PAR,32.0,auto,50.0,0.038,CSR
matrix_mkt/bcspwr06.mtx,PAR,32.0,auto,100.0,0.035,CSR
matrix_mkt/bcspwr06.mtx,PAR,16.0,auto,0.0,0.022,CSR
matrix_mkt/bcspwr06.mtx,PAR,16.0,auto,1.0,0.022,CSR
matrix_mkt/bcspwr06.mtx,PAR,16.0,auto,10.0,0.023,CSR
matrix_mkt/bcspwr06.mtx,PAR,16.0,auto,50.0,0.026,CSR
matrix_mkt/bcspwr06.mtx,PAR,16.0,auto,100.0,0.024,CSR
matrix_mkt/bcspwr06.mtx,PAR,4.0,auto,0.0,0.022,CSR
matrix_mkt/bcspwr06.mtx,PAR,4.0,auto,1.0,0.016,CSR
matrix_mkt/bcspwr06.mtx,PAR,4.0,auto,10.0,0.02,CSR
matrix_mkt/bcspwr06.mtx,PAR,4.0,auto,50.0,0.018,CSR
matrix_mkt/bcspwr06.mtx,PAR,4.0,auto,100.0,0.017,CSR
matrix_mkt/bcspwr08.mtx,PAR,64.0,static,0.0,1.41,CSR
matrix_mkt/bcspwr08.mtx,PAR,64.0,static,1.0,0.109,CSR
matrix_mkt/bcspwr08.mtx,PAR,64.0,static,10.0,0.069,CSR
matrix_mkt/bcspwr08.mtx,PAR,64.0,static,50.0,0.063,CSR
matrix_mkt/bcspwr08.mtx,PAR,64.0,static,100.0,0.097,CSR
matrix_mkt/bcspwr08.mtx,PAR,32.0,static,0.0,0.035,CSR
matrix_mkt/bcspwr08.mtx,PAR,32.0,static,1.0,0.071,CSR
matrix_mkt/bcspwr08.mtx,PAR,32.0,static,10.0,0.042,CSR
matrix_mkt/bcspwr08.mtx,PAR,32.0,static,50.0,0.034,CSR
matrix_mkt/bcspwr08.mtx,PAR,32.0,static,100.0,0.035,CSR
matrix_mkt/bcspwr08.mtx,PAR,16.0,static,0.0,0.023,CSR
matrix_mkt/bcspwr08.mtx,PAR,16.0,static,1.0,0.066,CSR
matrix_mkt/bcspwr08.mtx,PAR,16.0,static,10.0,0.032,CSR
matrix_mkt/bcspwr08.mtx,PAR,16.0,static,50.0,0.024,CSR
matrix_mkt/bcspwr08.mtx,PAR,16.0,static,100.0,0.028,CSR
matrix_mkt/bcspwr08.mtx,PAR,4.0,static,0.0,0.017,CSR
matrix_mkt/bcspwr08.mtx,PAR,4.0,static,1.0,0.045,CSR
matrix_mkt/bcspwr08.mtx,PAR,4.0,static,10.0,0.033,CSR
matrix_mkt/bcspwr08.mtx,PAR,4.0,static,50.0,0.022,CSR
matrix_mkt/bcspwr08.mtx,PAR,4.0,static,100.0,0.019,CSR
matrix_mkt/bcspwr08.mtx,PAR,64.0,dynamic,0.0,6.932,CSR
matrix_mkt/bcspwr08.mtx,PAR,64.0,dynamic,1.0,1.527,CSR
matrix_mkt/bcspwr08.mtx,PAR,64.0,dynamic,10.0,0.139,CSR
matrix_mkt/bcspwr08.mtx,PAR,64.0,dynamic,50.0,0.06,CSR
matrix_mkt/bcspwr08.mtx,PAR,64.0,dynamic,100.0,0.058,CSR
matrix_mkt/bcspwr08.mtx,PAR,32.0,dynamic,0.0,0.172,CSR
matrix_mkt/bcspwr08.mtx,PAR,32.0,dynamic,1.0,0.174,CSR
matrix_mkt/bcspwr08.mtx,PAR,32.0,dynamic,10.0,0.045,CSR
matrix_mkt/bcspwr08.mtx,PAR,32.0,dynamic,50.0,0.034,CSR
matrix_mkt/bcspwr08.mtx,PAR,32.0,dynamic,100.0,0.033,CSR
matrix_mkt/bcspwr08.mtx,PAR,16.0,dynamic,0.0,0.197,CSR
matrix_mkt/bcspwr08.mtx,PAR,16.0,dynamic,1.0,0.18,CSR
matrix_mkt/bcspwr08.mtx,PAR,16.0,dynamic,10.0,0.04,CSR
matrix_mkt/bcspwr08.mtx,PAR,16.0,dynamic,50.0,0.026,CSR
matrix_mkt/bcspwr08.mtx,PAR,16.0,dynamic,100.0,0.03,CSR
matrix_mkt/bcspwr08.mtx,PAR,4.0,dynamic,0.0,0.323,CSR
matrix_mkt/bcspwr08.mtx,PAR,4.0,dynamic,1.0,0.255,CSR
matrix_mkt/bcspwr08.mtx,PAR,4.0,dynamic,10.0,0.046,CSR
matrix_mkt/bcspwr08.mtx,PAR,4.0,dynamic,50.0,0.025,CSR
matrix_mkt/bcspwr08.mtx,PAR,4.0,dynamic,100.0,0.021,CSR
matrix_mkt/bcspwr08.mtx,PAR,64.0,guided,0.0,3.51,CSR
matrix_mkt/bcspwr08.mtx,PAR,64.0,guided,1.0,0.318,CSR
matrix_mkt/bcspwr08.mtx,PAR,64.0,guided,10.0,0.115,CSR
matrix_mkt/bcspwr08.mtx,PAR,64.0,guided,50.0,0.078,CSR
matrix_mkt/bcspwr08.mtx,PAR,64.0,guided,100.0,0.08,CSR
matrix_mkt/bcspwr08.mtx,PAR,32.0,guided,0.0,0.082,CSR
matrix_mkt/bcspwr08.mtx,PAR,32.0,guided,1.0,0.082,CSR
matrix_mkt/bcspwr08.mtx,PAR,32.0,guided,10.0,0.063,CSR
matrix_mkt/bcspwr08.mtx,PAR,32.0,guided,50.0,0.046,CSR
matrix_mkt/bcspwr08.mtx,PAR,32.0,guided,100.0,0.039,CSR
matrix_mkt/bcspwr08.mtx,PAR,16.0,guided,0.0,0.049,CSR
